Question,Answer
A white powder is added while baking breads and cakes to make them soft and fluffy. Write the name of the powder. Name its main ingredients. Explain the function of each ingredient. Write the chemical reaction taking place when the powder is heated during baking.," Baking powder.
It consist of sodium hyrogencarbonate and tartaric acid.
Sodium hydrogencarbonate gives CO2 which makes cake soft and fluffy. Tartaric acid neutralizes the bitterness due to sodium carbonate produced."
“Sodium hydrogencarbonate is a basic salt”. Justify the statement. How is it converted into washing soda? Explain.,".Sodium hydrogencarbonate is a salt of sodium hydroxide (strong base) and carbonic acid (weak acid).
It is basic salt. It is converted into washing soda by heating followed by crystallization."
"What is an acid?
","An acid is a hydrogen-containing chemical compound which, when dissolved in water, gives hydrogen ion (H+) or hydrated hydrogen ion (H2O. H+) or hydronium ion (H3O+)."
"What are bases and alkalies?
","Oxides and hydroxides of metals and metal like radicals (e.g., NH4+ ions) are called bases. Bases ionise to give OH– ions in aqueous solution. Bases may be soluble or insoluble in water. The soluble bases are called alkalies. Thus all alkalies are bases but all bases are not alkalies.
Examples
NaOH and Cu (OH)2 both are bases, but, since NaOH is soluble in water, it is an alkali. On the other hand, since Cu (OH)2 is insoluble in water, it is not an alkali. Other examples of alkalies are KOH, Ca (OH)2 and NH4OH."
"Define pH.
","pH of a given solution is the negative logarithm to the base 10 of the hydrogen ion concentration, [H+] expressed in g ions/lit or moles/lit. Thus
"
"What are the practical applications of neutralisation reactions?
","Being alkaline in nature, cold milk is used to neutralise the acidity produced by HCl present in the gastric juice in the stomach.
Astronauts in space ships use this reaction to neutralise the dangerous levels of CO2.
Farmers add slaked lime (calcium hydroxide) to reduce acidity of soil.
Sting of ants and bees contains formic acid. This can be neutralised by rubbing soap, which contains free sodium hydroxide.
Persons suffering from acidity are given antacid tablets, containing magnesium hydroxide which neutralises excess HCl produced, in stomach. Alternately, they are advised to sip cold milk, which neutralises HCl."
"Why the salts solutions of strong acid and strong alkali are neutral?
","Let us take the example of potassium sulphate, which is a salt of strong acid [sulphuric acid] and strong base [potassium hydroxide solution].
From the above equation, it is clear that water is always feebly ionised and hence solution of potassium sulphate is neutral in nature.
"
"What is an universal indicator?
","Universal indicator is a solution, which undergoes several colour, changes over a wide range of pH. The colour is used to ‘indicate’ pH directly. Universal indicators are usually mixtures of several indicators."
"Why common indicators cannot determine pH value of a solution?
","Common indicators, such as litmus; methyl orange and phenolphthalein can easily tell, us whether a solution is acidic or alkaline, but they cannot easily tell how much a given acidic solution is stronger than another acidic solution. It means they cannot really tell us the pH value of different acidic or alkaline solutions.
In case of litmus, we cannot tell about pH values of 5,6 and 7. Similarly, in case of methyl orange pH values between 3 and 8 will not be very accurate."
"What are the general characteristics of acids?
","They have a sour taste
They turn blue litmus to red and methyl orange to red.
They react with active metals to give hydrogen
They decompose carbonates to produced carbon dioxide and water."
"What is called deliquescent? Give examples.
","Compounds that take up enough water from the air to dissolve in the water they have taken up are called deliquescent. Calcium chloride (CaCl2) and Sodium hydroxide (NaOH) are the examples of deliquescent.

"
"Write the uses of chlorines.
","Chlorine is used in the production of bleaching powder.
Chlorine is used for making solvents for dry cleaning.
Chlorine is used to sterilise drinking water supply, and the water in swimming pools.
It is used in the production of hydrochloric acid."
"What are the two properties of carbon which lead to the huge number of carbon compounds we see around us ?
","(i) Tetravalency
(ii) Catenation."
"What will be the formula and electron dot structure of cyclopentane ?
","The molecular formula of cyclopentane is C5 H10 .
The electron dot structure of cyclopentane is given on the next page."
"Draw the structures for the following compounds :
(i) Ethanoic acid
(ii) Bromopentane
(iii) Butanone
(iv) Hexanal",NA
"Why is the conversion of ethanol to ethanoic acid an oxidation reaction ?
","Conversion of ethanol into ethanoic acid is an oxidation reaction because addition of oxygen to a substance is called oxidation. Here, oxygen is added to ethanol by oxidising agent like alkaline potassium permanganate or acidified potassium dichromate and it is converted into acid.
"
"A mixture of oxygen and ethyne is burnt for welding. Can you tell why a mixture of ethyne and air is not used ?
","A mixture of ethyne and air is not used for welding because burning of ethyne in air produces a sooty flame due to incomplete combustion, which is not enough to melt metals for welding.

"
"What are oxidising agents ?
","Oxidising agents are the substances which give oxygen to another substances or which remove hydrogen from a substance.
For example, acidic K2Cr2O7 is an oxidising agent, that converts (oxidises) ethanol into ethanoic acid."
"Would you be able to check if water is hard by using a detergent ?
","No, because detergents can lather well even in hard water. They do not form insoluble calcium or magnesium salts (scum). On reacting with the calcium ions and magnesium ions present in the hard water.

"
"People use a variety of methods to wash clothes. Usually after adding the soap, they ‘beat’ the clothes on a stone, or beat it with a paddle, scrub with a brush or the mixture is agitated in a washing machine. Why is agitation necessary to get clean clothes ?
","It is necessary to agitate to get clean clothes because the soap micelles which entrap oily or greasy particles on the surface of dirty cloth have to be removed from its surface. When the cloth wetted in soap solution is agitated or beaten, the micelles containing oily or greasy dirt get removed from the surface of dirty cloth and go into water and the dirty cloth gets cleaned.

"
"Ethane, with the molecular formula C2H6 has
(a) 6 covalent bonds
(b) 7 covalent bonds
(c) 8 covalent bonds
(d) 9 covalent bonds","(b) 7 covalent bonds.

"
"Butanone is a four-carbon compound with the functional group
(a) carboxylic acid
(b) aldehyde
(c) ketone
(d) alcohol","(c) Ketone.

"
"While cooking, if the bottom of the vessel is getting blackened on the outside, it means that
(a) the food is not cooked completely.
(b) the fuel is not burning completely.
(c) the fuel is wet.
(d) the fuel is burning completely.","(b) The fuel is not burning completely.

"
"Explain the nature of the covalent bond using the bond formation in CH3Cl.
","Covalent bond is formed by sharing of electrons so that the combining atoms complete their outermost shell.

In CH3Cl : C = 6, H = 1 and Cl = 17 And their electronic configuration is C – 2,4, H – 1 and Cl – 2, 8, 7                                 Three hydrogen atoms complete their shells by sharing three electrons (one electron each) of carbon atom.
Chlorine completes its outer shell by sharing its one out of seven electrons with one electron of carbon atom.
Thus carbon atom shares all its four electrons with three hydrogen atoms and one of chlorine atom and completes its outermost shell and single covalent bonds are formed in CH3Cl."
"What is a homologous series ? Explain with an example.
","Homologous series : A homologous series is a group of organic compounds having
similar structures and similar chemical properties in which the successive compounds differ by -CH2 group"
"Why does micelle formation take place when soap is added to water ? Will a micell be formed in other solvents such as ethanol also ?
","Micelle formation takes place when soap is added to water because the hydrocarbon chains of soap molecules are hydrophobic (water repelling) which are insoluble in water, but the ionic ends of soap molecules are hydrophilic (water attracting) and hence soluble in water.
Such micelle formation will not be possible in other solvents like ethanol in which sodium salt of fatty acids do not dissolve."
"Why are carbon and its compounds used as fuels for most applications ?
","Carbon and its compounds give a large amount of heat per unit weight and are therefore, used as fuels for most applications.

"
"Explain the formation of scum when hard water is treated with soap.
","Hard water contains salts of calcium and magnesium. Calcium and magnesium on reacting with soap form insoluble precipitate called scum. The scum formation lessens the cleansing property of soaps in hard water.

"
"What change will you observe if you test soap with litmus paper (red and blue)?
","Red litmus will turn blue because soap is alkaline in nature. Blue litmus remains blue in soap solution.

"
"What is hydrogenation ? What is its industrial application ?
","The addition of hydrogen to an unsaturated hydrocarbon to obtain a saturated hydro-carbon is called hydrogenation. The process of hydrogenation takes place in the presence of nickel (Ni) or palladium (Pd) metals as catalyst.                     
Application : The process of hydrogenation has an important industrial application. It is used to prepare vegetable ghee (or vanaspati ghee) from vegetable oils."
"Which of the following hydrocarbons undergo addition reactions :
C2H6, C3H8, C3H6, C2H2 and CH4",Addition reactions take place only in unsaturated hydrocarbons. So addition reaction take place only in C3H6 and C2H2.
"Give a test that can be used to differentiate chemically between butter and cooking oil.
","Butter is a saturated carbon compound while cooking oil is an unsaturated carbon compound. An unsaturated compound decolourises bromine water, while a saturated compound cannot decolourise it. So we can distinguish chemically between a cooking oil and butter by the bromine water. Add bromine water to a little of cooking oil and butter taken in separate test-tubes.

Cooking oil decolourises bromine water showing that it is an unsaturated compound.
Butter does not decolourise bromine water showing that it is a saturated compound"
"Explain the mechanism of the cleaning action of soaps.
","When a dirty cloth is put in water containing dissolved soap, then the hydrocarbon end of the soap molecules in micelle attach to the oil or grease particles present on the surface of dirty cloth. In this way the soap micelle entraps the oily or greasy particles by using its hydrocarbon ends. The ionic ends of the soap molecules in the micelles, however, remain attached to water. When the dirty cloth is agitated in soap solution, the oily and greasy particles present on its surface and entrapped by soap micelles get dispersed in water due to which the soap water becomes dirty but the cloth gets cleaned. The cloth is cleaned thoroughly by rinsing in clean water a number of times.
"
"Give the names of the following functional groups:
(i) —OH (ii) —COOH","(i) Alcohol group (ii) Carboxylic acid group

"
What is the difference in the molecular formula of any two consecutive members of a homologous series of organic compounds?,CH2— is the difference in the molecular formula of any two consecutive members of a homologous series of organic compounds.
What is meant by a sturated hydrocarbon?,Those hydrocarbons in w hich valency of carbon is satisfied by single bonds only are called sturated hydrocarbons
"What is meant by a functional group in an organic compound? Name the functional group present in
(i) CH3CH2OH
(ii) CH3COOH
(b) State one point of difference between soap and synthetic detergent.","(a) Functional group is an atom or group of atoms or reactive part of compound, which determines chemical properties of compounds.
(i) —OH (Alcohol)
(ii) —COOH (Carboxylic acid)
(b) Soaps do not work well with hard water, detergents work well with hard water."
"Give reasons for the following observations:
(a) The element carbon forms a very large number of compounds.
(b) Air holes of a gas burner have to be adjusted when the heated vessels get blackened by the flame.
(c) Use of synthetic detergents causes pollution of water.","(a) Carbon forms large number of compounds since carbon is small in size and can form stable covalent bonds (catenation) and it shows tetravalency.
(b) Air holes of gas burner are made open (adjusted) so that air can pass through, which is needed for complete combustion, so that heated vessels do not get blackened.
(c) Some synthetic detergents are non-biodegradable, therefore, cause pollution of water."
"State two characteristic features of carbon which when put together give rise to large
number of carbon compounds.",(i) Catenation (ii) Tetravalency of carbon
How many covalent bonds are there in a molecule of ethane (C2H6)?, There are 7 covalent bonds in a molecule of ethane.
"Write three important uses of ethanol.
","Ethanol is used as a solvent to dissolve varnishes, medicines and other organic compounds
It is used as beverage (for drinking as an intoxicant) in different forms, viz; Brandy, Whisky etc.,
It is used for industrial uses in the name of denatured spirit."
A piece of black electrode used in dry cell on strong heating in air gave a colourless gas which turned lime -water milky. What was the material of the electrode?,"We know that graphite is used for making the electrodes. So, the piece of black electrode used in the dry cell is made of graphite (which is an allotrope of carbon element). This is confirmed by the fact that the piece of electrode, on strong heating in air, gave a colourless gas carbon dioxide which turned lime- water milky. Thus, the material of the electrode is graphite.
"
"Why does graphite conducts electricity, but not diamond?
","In case of diamond, each carbon atom of a single crystal is surrounded by four other carbon atoms by covalent bonds such that they form four corners of a regular tetrahedron. Because of four covalent bonds with each carbon atoms there are no free electrons available. Due to the non-availability of free electrons within crystalline structure, diamond acts as a bad conductor of electricity.
"
"State what you will observe when sugar crystals is heated strongly.
State what you will observe when sugar crystals is treated with conc. Sulphuric acid.","The sugar crystal will initially melt. Gradually, they turn brown and start swelling up. They give off large amount of steam. Finally black porous residue of carbon is left behind.
The sugar crystals will initially turn brown. Lot of frothing takes place with the evolution of large amount of heat and steam is given off. Finally a black porous residue of carbon is left behind."
"How are the molecules of aldehyde and Ketone structurally different?
","In aldehyde, the carbon atom of the carbonyl group is attached to one alkyl group (R) and one hydrogen atom but in ketone, the carbonyl group is attached to two alkyl groups.
"
"What change has been made in the composition of detergents to make them biodegradable?
","Detergents made from long chain hydrocarbons having the minimum branching in their molecules are degraded more easily.
"
"A hydrocarbon molecule contains 4 hydrogen atoms. Give its molecular formula, if it is an: (i) alkane, (ii) alkene (iii) alkyne.
","(i) An alkane containing 4 hydrogen atoms in its molecule is methane, CH4.
(ii) An alkene containing 4 hydrogen atoms in its molecule is ethane, C2H4
(iii) An alkyne containing 4 hydrogen atoms in its molecule is propyne, C3H4"
"Why common salt is added in soap making?
","Common salt is added to the mixture to make the soap come out of solution. Though most of the soap separates out on its own but some of it remains in solution. Common salt is added to precipitate out all the soap from the aqueous solution. Actually, when we add common salt to the solution, then the solubility of soap present in it decreases, due to which all the soap separates out from the solution in the form of a solid.
"
"What is meant by denatured alcohol? What is the need to denature alcohol?
","The alcohol which is rendered unfit by mixing it with some poisonous substances, such as methanol, pyridine, copper sulphate, etc is known as denatured alcohol. Ethanol is an important industrial chemical. Therefore, it subjected to very small excise duty. To prevent its misuse for drinking purpose, there is a need to denature alcohol.
"
"What is meant by the term “functional group”?
","A functional group in an organic compound is an atom or a group of atoms binded together in a unique fashion, which is usually the site of chemical reactivity in an organic molecule.

"
"Did Dobereiner’s triads also exist in the columns of Newlands’ Octaves ? Compare and find out.
","Yes, Dobereiner’s triads also existed in the columns of Newland’s Octaves.
For example, Li, Na, K.
If we consider lithium (Li) as the first element, then sodium (Na) is eighth element. If we consider sodium as the first element, then potassium is the eighth element."
"What were the limitations of Dobereiner’s classification ?
","It failed to arrange all the then known elements in the form of triads of elements having similar chemical properties. Dobereiner could identify only three triads from the elements known that time.

"
"What were the limitations of Newlands’ law of octaves ?
","(i) Newlands law of octaves was applicable to the classification of elements upto calcium only. After calcium every eighth element did not possess the properties similar to that of the first element.
(ii) Newlands assumed that only 56 elements existed in nature and no more elements would be discovered in the future. But later on, several new elements were discovered whose properties did not fit into Newlands’ law of Octaves. (iii) In order to fit elements into his table, Newlands put even two elements together in one slot and that too in the column of unlike elements having very different properties.
For example, the two elements cobalt (Co) and nickel (Ni) were put together in just one slot and that too in the column of elements like fluorine, chlorine and bromine which have very different properties from these elements.                           (iv) Iron (Fe) element which resemble elements like cobalt and nickel in properties, was placed far away from these elements."
"Use Mendeleev’s Periodic Table to predict the formulae for the oxides of the following elements : K, C, Al, Si, Ba
","K2O, CO2, Al2O3, SiO2, BaO.

"
"Besides gallium, which other elements have since been discovered that were left by Mendeleev in his periodic table ","Scandium and Germanium.

"
"What were the criteria used by Mendeleev in creating his Periodic Table ?
","Mendeleev used the relationship between the atomic masses of the elements and their physical and chemical properties. He used similarity in physical properties, similarity in the formation of hydrides and oxides of element.

"
"Why do you think the noble gases are placed in a separate group ?
","Noble gases are chemically inert and are present in atmosphere in extremely low concentrations. Therefore, owing to their similar inert behaviour and similar electronic configuration, they are justified to be placed in a separate group.

"
"How could the modern periodic table remove various anomalies of Mendeleev’s periodic Table ?
","(i) The modern periodic table is based on atomic number, while Mendeleev’s periodic table was based on atomic mass.
(ii) The isotopes of an element have same number of protons (or atomic number). So they are alloted the same position in modern periodic table.                                                                             (iii) Cobalt and nickel are placed at 9th and 10th position respectively.
(iv) Hydrogen has been alloted special position, i.e., it is placed at the top of alkali metals in the first group"
"Name two elements you would expect to show chemical reactions similar to magnesium. What is the basis for your choice ?
","Beryllium (Be) and Calcium (Ca).
Both Be (atomic number 4) and Ca (atomic number 20) have similar electronic configuration, i.e. two electrons in outermost shells.
Be               2,2
Ca             2, 8, 8, 2
Both Be and Ca react with oxygen to give basic oxides, BeO and MgO."
"(a) three elements that have a single electron in their outermost shells.
(b) two elements that have two electrons in their outermost shells.
(c) three elements with filled outer most shells.","(a) Lithium : Atomic number – 3(2, 1); Sodium : Atomic number – 11(2, 8, 1); Potassium : Atomic number – 19(2, 8, 8, 1).
(b) Beryllium : Atomic number – 4(2, 2); Calcium : Atomic number – 20(2, 8, 8, 2)
(c) Helium : Atomic number – 2(2); Neon : Atomic number – 10(2, 8); Argon : Atomic number – 18(2, 8, 8)."
"(a) Lithium, sodium, potassium are all metals that react with water to liberate hydrogen gas. Is there any similarity in the atoms of these elements ?
(b) Helium is an unreactive gas and neon is a gas of extremely low reactivity. What, if anything, do their atoms have in common ?","(a) Lithium, sodium and potassium all belong to the same group. The atoms of lithium, sodium and potassium all have only one electron in their outermost shells and all of these are metals. All of these react with water to form alkalies.
(b) The atoms of helium and neon have their outermost shells completely filled. Helium has its first shell completely filled, while neon has its first and second shells (K and L) completely filled."
"In the modern periodic table, which are the metals among the first ten elements ?
","The first ten elements in modern periodic table are hydrogen, helium, lithium, beryllium, boron, carbon, nitrogen, oxygen, fluorine and neon. Out of these, lithium, beryllium and boron are metals, because they have 1, 2 and 3 electrons respectively in their outermost shells.

"
"By considering their position in the Periodic Table, which one of the following elements would you expect to have maximum metallic characteristics ?
Ga, Ge, As, Se, Be","Beryllium (Be). In the periodic table, the elements placed on the left show maximum metallic characteristics. Since beryllium occupies the most left position in comparison to other elements, hence it shows maximum metallic characteristics.

"
"Which of the following statements is not a correct statement about the trends wlien going from left to right across the periods of Periodic Table.
(a) The elements become less metallic in nature.
(b) The number of valence electrons increases.
(c) The atoms lose their electrons more easily.
(d) The oxides become more acidic.","(c) The atoms lose their .electrons more easily.

"
"Element X forms a chloride with the formula XCl2, which is solid with a high melting point. X would most likely to be in the same group of the periodic table as
(a) Na
(b) Mg
(c) Al
(d) Si","(b) Mg

"
"Which element has
(a) two shells, both of which are completely filled with electrons ?
(b) the electronic configuration 2, 8, 2 ?
(c) a total of three shells, with four electrons in its valence shell ?
(d) a total of two shells with three electrons in its valence shell. v
(e) twice as many electrons in its second shell as in its first shell ?","(a) Neon (2, 8)
(b) Magnesium
(c) Silicon (2, 8, 4)
(d) Boron (2, 3)
(e) Carbon (2, 4)"
"(a) What property do all elements in the same column of the Periodic Table as boron have in common ?
(b) What property do all elements in the same column of the Periodic Table . as fluorine have in common ?","(a) Elements in the same column or group as boron have valency of three and have three valence electrons.
(b) Elements in the same column or group as fluorine form acidic oxides and have seven electrons in their outermost shells and have valency of one."
"An atom has electronic configuration 2, 8, 7.
(a) What is the atomic number of this element ?
(b) To which of the following elements would it be chemically similar ? (Atomic numbers are given in parentheses.)
N (7), F (9), P (15), Ar (18)","(a) The atomic number of the given element is 2 + 8 + 7(= 17).
(b) It would be chemically similar to fluorine [F(9)] because its electronic configuration is 2, 7."
Nitrogen (atomic number 7) and phosphorus (atomic number 15) belong to group 15 of the periodic table. Write the electronic configuration of these two elements. Which of these will be more electronegative ? Why ?,"Electronic configuration of nitrogen -2,5
Electronic configuration of phosphorus = 2, 8, 5
Nitrogen will be more electronegative because outermost shell is nearer to nucleus and therefore nucleus will attract electrons more strongly. In a group of the periodic table, electron attracting tendency decreases as we move from top to bottom"
"How does the electronic configuration of an atom relate to its position in the Modern Periodic Table ?
","Modern periodic table is based on the atomic number and atomic number is directly related to the electronic configuration. One can find the group number and period number of an element on the basis of electronic configuration. For example, if an element has 1 or 2 electrons in its outermost shell, then it would belong to group 1 or group 2. And if it has 3 or more electrons in its outermost shell, then it would belong to group 10 4- the number of electrons in the outermost shell.
All the alkali metals have one electron in their outermost shell, so they are placed in group 1. Thus, all the group 2 elements have 2 electrons in their outermost shell. In group 15 elements, there are 5 electrons in their outermost shell. Similarly, the number of shells in an element indicates its period number. For example, the atomic number of magnesium is 12 and its electronic configuration is 2, 8, 2. Thus it is an element of 3rd period.
"
"In the Modern Periodic Table, calcium (atomic number 20) is surrounded by elements with atomic number 12, 19, 21 and 38. Which of these have physical and chemical properties resembling calcium ?
","The electronic configuration of elements with :
Atomic number 12 = 2, 8, 2
Atomic number 19 = 2, 8, 8, 1
Atomic number 20 = 2, 8, 8, 2
Atomic number 21 = 2, 8, 9, 2
Atomic number 38 = 2, 8, 18, 8, 2
Elements with atomic number 12 i.e., magnesium (Mg) and 38 i.e., strontium (Sr) will have similar physical and chemical properties as element with atomic numbers 20 i.e., calcium (Ca)"
"The elements of the second period of the Periodic Table are given below:
Li Be B C N O F
(a) Give reason to explain why atomic radii decrease from Li to F.
(b) Identify the most
(i) metallic and
(ii)non-metallic element.","(a) It is because nuclear charge increases due to increase in atomic number, therefore, force of attraction between nucleus and valence electrons increases, i.e. effective nuclear charge increases, hence atomic radii decrease from Li to F.
(b) (i) Most metallic element is ‘Li’ as it
can lose electrons easily due to larger atomic size.
(ii) Most non-metallic element is ‘F’ because it can gain electrons easily due to smallest atomic size."
"Question.5 What physical and chemical properties of elements were used by Mendeleev in creating his periodic table? List two observations which posed a challenge to Mendeleev’s Periodic Law.
","Atomic mass as a physical property and nature and formulae of oxide and hydride formed, and chemical property was used by Mendeleev.
Following are the two observations which posed a challenge to Mendeleev’s Periodic Law.
(i) Increasing order of atomic weights could not be maintained while matching chemical properties. Chemical properties do not depend upon atomic mass.
(ii) Isotopes have different atomic mass but same chemical properties"
"(a) Why do we classify elements?
(b) What were the two criteria used by Mendeleev in creating his Periodic Table?
(c) Why did Mendeleev leave some gaps in his Periodic Table?
(d) In Mendeleev’s Periodic Table, why was there no mention of Noble gases like Helium, Neon and Argon?
(e) Would you place the two isotopes ‘ of chlorine, CI-35 and CI-37 in
different slots because of their different atomic masses or in the same slot because their chemical properties are the same? Justify your answer.","(a) It is done so as to study the properties of elements conveniently.
(b) Increasing order of atomic mass and similarities in chemical properties (especially nature and formulae of oxide and hydride formed).
(c) These gaps were left for undiscovered elements.
(d) Noble gases were not invented at that time.
(e) They will be kept at same slot as they have same chemical properties."
" Lithium, sodium and potassium form a Dobereiner’s triad. The atomic masses of lithium and potassium are 7 and 39 respectively. Predict the atomic mass of sodium.",23
"Chlorine, bromine and iodine form a Dobereiner’s triad. The atomic masses of chlorine and iodine are 35.5 and 126.9 respectively. Predict the atomic mass of bromine.",81.2
Why was the system of classification of elements into triads not found suitable?,It is because all the elements discovered at that time could not be classified into triads
"(a) What is meant by periodicity
in properties of elements with reference to the periodic table?
(b) Why do all the elements of the same group have similar properties?
(c) How will the tendency to gain electrons change as we go from left to right across a period? Why?","(a) The repetition of same properties after definite interval is called periodicity in properties.
(b) It is because they have same valence electrons therefore, have similar properties.
(c) Tendency to gain electrons increases from left to right in a period because atomic size goes on decreasing and effective nuclear charge increases."
"What are the merits and demerits of newland’s classification?
","Merits
(i) This classification worked well for lighter elements only up to Ca.
(ii) This classification gave us a relation between the properties of the elements and their atomic masses.
(iii) It was shown by this classification for the first time that there exists a periodicity in the properties of the elements.
Demerits
(i) This classification failed when the heavier elements beyond Ca were arranged according to Newland’s law of octaves.
(ii) At the time of this law, noble gases were unknown. When noble gases were discovered, neon (Ne) between F and Na, and argon (Ar) between Cl and K, it becomes the ninth element and not the eighth which has the similar properties."
"X and Y are two elements having which have similar properties and obey Newland’s land of octaves. How many elements are there in-between X and Y?
",The law states there are eight elements in an octave (row). No of elements between X and Y is six.
"What is achievement of Dobereiner’s law of traids?
","The law recognised the relation between atomic weight of an element and its chemical properties for the first time.

"
"Lithium, Sodium and potassium were put in the same group on the basis of their similar properties.
i) What is the similarity in their properties?",") Li, Na and K are very reactive alkali metals, which react with water with the formation of an alkali and hydrogen gas"
"State two reasons for rejecting law of octaves.
","i) The law did not extend properly beyond the element calcium.
(ii) The law did not provide any specific place for hydrogen"
"Name four alkaline earth metals. To which group do they belong?
","The four alkaline earth metals are beryllium, magnesium, calcium and strontium. They belong to II A group.

"
"What is called diagonal relationship?
",The similarity in properties between certain elements of different periods placed diagonally to one another in a periodic table is called diagonal relationship.
"Define electron affinity.
","It is defined as the amount of energy released in adding an extra electron to an isolated neutral gaseous atom in its lowest energy state, to convert it into gaseous ion. Electron affinity increases as one moves from left to right in periods or top to bottom in groups.

"
What is called electronegativity?,"The property of atoms to attract electrons in a covalent bond is called electronegativity.
(i) In periods, electronegativity increases with the increase in atomic number.
(ii) In groups, electronegativity decreases with the increase in atomic number."
"a) Name an alkali metal other than lithium, sodium and potassium.
(b) Name an alkaline earth metals other than calcium, strontium and barium.
(c) Name one halogen other than chlorine, bromine and iodine.
(d) Name a non-metal having properties similar to carbon.
(e) Name a rare gas other than neon, krypton and xenon.","(a) Rubidium
(b) Magnesium
(c) Fluorine
(d) Silicon
(e) Argon."
"Explain why the following statements are not correct?
i) All groups contain both metals and non-metals
ii) In group I, reactivity decreases with increases in atomic number
iii) Elements in a period become more metallic with increasing atomic number
iv) Atoms of elements in the same group have the same number of electrons","i) All groups do not contain both metals and non-metals. Group I and II contain only metals.
ii) In group I, reactivity increases with increase in atomic number. This is because as the size of the atoms increases, the valence shell electrons can be easily removed.
iii) The metallic character decreases in a period with increase in atomic number. This is because across the period, the size of the atom decreases and the valence shell electrons are held more tightly.
iv) In a neutral atom the number of electrons is equal to the number of protons. In a group the atomic number increases as we move down."
"Why are the elements sodium and chlorine in the same period of the Periodic table?
","This is because the atoms of both the elements have three shells containing the electrons.

"
"Give an example of a metal which :
(i) is a liquid at room temperature.
(ii) can be easily cut with a knife.
(iii) is the best conductor of heat.
(iv) is a poor conductor of heat.","(i) Mercury
(ii) Sodium
(iii) Silver
(iv) Lead"
"Explain the meanings of malleable and ductile.
","Malleable : A metal that can be beaten into thin sheets on hammering is called malleable.
Ductile : A metal which can be drawn into thin wires is called ductile."
"Why is sodium kept immersed in kerosene oil ?
","Sodium is highly reactive. So it is kept immersed in kerosene oil to prevent its reaction with oxygen, moisture and carbon dioxide of air to prevent accidental fires"
"Write equations for the reactions of
(i) iron with steam.
(ii) calcium and potassium with water",(1) 3Fe(s) + 4H2O(g) = Fe3O4(s) + 4H2(g)                                                       (2) Ca(s) + 2H20 (l) = Ca(OH)2(aq) + H2(g)                                             2K(s) + 2H20 (l) = 2KOH(aq) + H2(g) + Heat
"Which gas is produced when dilute hydrochloric acid is added to a reactive metal ? Write the chemical reaction when iron reacts with dilute H2SO4.
","Hydrogen gas is produced when dilute hydrochloric acid is added to a reactive metal.
Chemical reaction when iron reacts with dilute H2SO4 :
Fe(s) + H2SO4(aq) ? FeSO4(aq) + H2(g)"
"What would you observe when zinc is added to a solution of iron (II) sulphate ? Write the chemical reaction that takes place.
","Zinc is more reactive than iron. Therefore, when zinc is added to a solution of iron (II) sulphate, then the greenish colour of iron (II) sulphate solution fades gradually due to the formation of colourless zinc sulphate solution and iron metal is deposited on zinc.
FeSO4 (aq) + Zn(s) = ZnSO4(aq) + Fe(s)"
"Why do ionic compounds have high melting points ?
(iii) What are ions present in these compounds?","The ionic compounds are made up of positive and negative ions. There is a strong force of attraction between the oppositely charged ions, so a lot of heat energy is required to break this force of attraction and melt the ionic compound. Due to this, ionic compounds have high melting points.

"
"Define the following terms : (i) Mineral, (ii) Ore and (iii) Gangue.
","(i) Mineral : The natural materials in which the metals or their compounds are found in earth are called minerals.
(ii) Ore : Those minerals from which the metals can be extracted conveniently and profitably are called ores.
(iii) Gangue : The unwanted impurities like sand, rocky material, earth particles, lime stone, mica, etc in an ore are called gangue."
Name two metals which are found in nature in the free state.,"Gold and platinum

"
"What chemical process is used for obtaining a metal from its oxide.
","Reduction process is used for obtaining a metal from its oxide.
For example, zinc oxide is reduced to metallic zinc by heating with carbon.
ZnO(s) + C(s) ? Zn(s) + CO(g)

Besides carbon, highly reactive metals like sodium, calcium, aluminium etc. are used as reducing agents. These displace metals of low reactivity from their oxides.
For example,
Fe2O3(s) + 2Al(s) ? 2Fe(l) + Al2O3(s) + Heat

"
"Gold is Metal or Nonmetal ?

","Gold is a metal found in nature in the free state

"
"What are alloys ?
","An alloy is a homogeneous mixture of two or more metals, or a metal and a non-metal. For example, bronze is an alloy of copper and tin.

"
"Which of the following pairs will give displacement reactions ?
(a) NaCl solution and copper metal.
(b) MgCl2 solution and aluminium metal.
(c) FeSO4 solution and silver metal.
(d) AgNO3 solution and copper metal.","(d) AgNO3 solution and copper metal.

"
"Which of the following methods is suitable for preventing an iron frying pan from rusting ?
(a) Applying grease
(b) Applying paint.
(c) Applying a coating of zinc
(d) All the above.","(c) Applying a coating of zinc.

"
"An element reacts with oxygen to give a compound with a high melting point. This compound is also soluble in water. The element is likely to be
(a) calcium
(b) carbon
(c) silicon
(d) iron","(a) Calcium.

"
"Food cans are coated with tin and not with zinc because
(a) zinc is costlier than tin
(b) zinc has a higher melting point than tin
(c) zinc is less reactive than tin
(d) zinc is more reactive than tin","(d) Zinc is more reactive than tin.

"
